DRCOV VERSION: 3
DRCOV FLAVOR: drcov-64
Module Table: version 5, count 38
Columns: id, containing_id, start, end, entry, offset, preferred_base, path
  0,   0, 0x00007f5ffcb4e000, 0x00007f5ffcb4f000, 0x00007f5ffcb4f1d0, 0000000000000000, 0x0000000072000000,  /dynamorio/build/clients/lib64/release/libdrcov.so
module[  9]: 0x00000000000029ed, 118
module[  9]: 0x000000000001e63c,  46
module[  9]: 0x000000000001e66c,  33
module[  9]: 0x000000000001eff0,  48
module[  9]: 0x000000000001f9f5,  13
module[  9]: 0x000000000001fa02,  29
module[  9]: 0x0000000000002a63,  20
module[  9]: 0x0000000000002a77,  11
module[  9]: 0x0000000000002a82,   9
module[  9]: 0x0000000000002a8b,  30
module[  9]: 0x0000000000002aa9, 118
module[  9]: 0x0000000000002b1f,  20
module[  9]: 0x0000000000002b33,  11
module[  9]: 0x0000000000002b3e,   9
module[  9]: 0x0000000000002b47,  30
module[  9]: 0x0000000000002b65, 118
module[  9]: 0x000000000000b118,  24
module[  9]: 0x000000000001f8b0,  48
module[  9]: 0x0000000000002bdb,  19
module[  9]: 0x0000000000002bee,  11
module[  9]: 0x0000000000002bf9,   9
module[  9]: 0x0000000000002c02,  30
module[  9]: 0x0000000000002c20, 118
module[  9]: 0x000000000001f8e0,  58
module[  9]: 0x000000000001f91a,  56
module[  9]: 0x000000000001f952,  14
